team_name,team_short_name,match_played,win,draw,loss,goal,shot,cross,pass,touch,cleansheet,save,tackle,foul,redcard,yellowcard
Mumbai City FC,MCFC,23,13,6,4,39,279,322,11050,14121,10,61,821,344,3.0,61
ATK Mohun Bagan,ATKMB,23,13,5,5,32,296,250,7605,11136,10,59,789,343,,46
NorthEast United FC,NEUFC,22,8,10,4,33,273,235,7309,10377,5,42,695,339,1.0,36
Jamshedpur FC,JFC,20,7,6,7,21,214,305,6564,9467,8,59,672,310,4.0,31
FC Goa,FCG,22,7,12,3,33,300,275,10597,13550,4,41,754,327,4.0,35
Hyderabad FC,HFC,20,6,11,3,27,237,283,8121,10873,8,39,595,277,3.0,26
Bengaluru FC,BFC,20,5,7,8,26,237,220,7547,10155,4,61,547,280,,51
SC East Bengal,SCEB,20,3,8,9,22,190,221,8193,10773,3,64,588,267,4.0,44
Kerala Blasters FC,KBFC,20,3,8,9,23,268,289,7460,10212,3,58,651,281,2.0,37
Chennaiyin FC,CFC,20,3,11,6,17,255,263,7448,10271,6,51,663,311,1.0,46
Odisha FC,OFC,20,2,6,12,25,213,205,6690,9386,1,70,600,260,,50
